Date.n,SiteName,River.basin,Longitude,Latitude
1,ARA 15,Middle Caqueta,-72.38183129,-0.615989544
2,ARA 15,Middle Caqueta,-72.38183129,-0.615989544
3,ARA 7,Middle Caqueta,-72.39515309,-0.618779792
4,ARA 26,Middle Caqueta,-72.3969792,-0.6008076
5,Puerto Arturo,Middle Caqueta,-72.4078552,-0.569783
6,Pena Roja,Middle Caqueta,-72.0942664,-0.6644154
7,Pena Roja,Middle Caqueta,-72.0942664,-0.6644154
8,Pena Roja,Middle Caqueta,-72.0942664,-0.6644154
9,Pena Roja,Middle Caqueta,-72.0942664,-0.6644154
10,Pena Roja,Middle Caqueta,-72.0942664,-0.6644154
11,Pena Roja,Middle Caqueta,-72.0942664,-0.6644154
12,Pena Roja,Middle Caqueta,-72.0942664,-0.6644154
13,Pena Roja,Middle Caqueta,-72.0942664,-0.6644154
14,Finca Rivera (14),Upper Amazonas,-70.16654998,-3.952790824
15,Finca Rivera (14),Upper Amazonas,-70.16654998,-3.952790824
16,Finca Rivera (14),Upper Amazonas,-70.16654998,-3.952790824
17,NP 2,Middle Napo,-75.47685149,-0.862814009
18,NP 2,Middle Napo,-75.94768515,-0.862814009
19,NP 3,Middle Napo,-75.38857112,-0.928148924
20,TAM2,Middle Ucayali,-74.31356922,-8.859313821
21,TAM1,Middle Ucayali,-74.27226455,-8.854840132
22,Coari 1,Middle SolimÃµes,-63.14055561,-4.084166717
23,Boa Esperança,Japura (Lower Caqueta),-64.746371,-2.485506
24,Cacoal do Amanã,Japura (Lower Caqueta),-64.73551391,-2.505682942
25,Vilas,Middle SolimÃµes,-64.677991,-3.35979
26,Vilas,Middle SolimÃµes,-64.677991,-3.35979
27,Vilas,Middle SolimÃµes,-64.677991,-3.35979
28,Vilas,Middle SolimÃµes,-64.677991,-3.35979
29,Tauari,Middel SolimÃµes,-64.9596526,-3.635231732
30,Tauari,Middel SolimÃµes,-64.9596526,-3.635231732
31,Tauari,Middel SolimÃµes,-64.9596526,-3.635231732
32,São João,Middle SolimÃµes,-64.4285,-3.516389
33,São João,Middle SolimÃµes,-64.4285,-3.516389
34,São João,Middle SolimÃµes,-64.4285,-3.516389
35,Ponta da Castanha,Middle SolimÃµes,-64.9723069,-3.524829335
36,Ponta da Castanha,Middle SolimÃµes,-64.9723069,-3.524829335
37,Ponta da Castanha,Middle SolimÃµes,-64.9723069,-3.524829335
38,Santa Fé,Middle SolimÃµes,-63.72699686,-4.251999056
39,Nova Esperança,Middle SolimÃµes,-63.85907167,-4.3007836
40,Nova Esperança,Middle SolimÃµes,-63.85907167,-4.3007836
41,Monte Sinai,Lower SolimÃµes,-62.1097509,-3.6302219
42,Monte Sinai,Lower SolimÃµes,-62.1097509,-3.6302219
50,Hatahara,Lower SolimÃµes,-60.20451604,-3.274590055
51,Hatahara,Lower SolimÃµes,-60.20451604,-3.274590055
52,Laguinho,Lower SolimÃµes,-60.12817098,-3.28463696
53,Lago do Limão,Lower Negro,-60.34264401,-3.185688704
54,Antônio Galo,Lower Negro,-60.33472785,-3.198334631
55,Açutuba,Lower Negro,-60.36567908,-3.095248949
56,Açutuba,Lower Negro,-60.36567908,-3.095248949
57,Açutuba,Lower Negro,-60.36567908,-3.095248949
58,Açutuba,Lower Negro,-60.36567908,-3.095248949
59,Açutuba,Lower Negro,-60.36567908,-3.095248949
60,Açutuba,Lower Negro,-60.36567908,-3.095248949
61,Açutuba,Lower Negro,-60.36567908,-3.095248949
62,Açutuba,Lower Negro,-60.36567908,-3.095248949
63,Engenho Velho,Middle Negro,-61.99229624,-1.394975375
64,Santa Rosa,Middle Negro,-60.77588322,-2.479461036
65,Terra Preta,Middle Negro,-60.74267496,-2.465388199
66,Terra Preta,Middle Negro,-60.74267496,-2.465388199
67,Nova Vida,Middle Negro,-61.73797315,-1.445766534
68,Vista Alegre,Middle Negro,-61.44680002,-1.901424305
69,Vila Nova II,Middle Negro,-61.553866,-1.573746
70,Vila Nova II,Middle Negro,-61.553866,-1.573746
71,AM-UR-32,Lower Amazonas,-59.41609613,-2.038508005
72,AM-UR-22,Lower Amazonas,-59.48058456,-1.892624262
73,Borba,Lower Madeira,-59.569217,-4.368576
74,Traipu,Lower Madeira,-59.90993352,-4.839076212
75,Itapirema,Upper Madeira,-63.528664,-8.457831
76,Itapirema,Upper Madeira,-63.528664,-8.457831
77,Itapirema,Upper Madeira,-63.528664,-8.457831
78,Teotônio,Upper Madeira,-64.055557,-8.888889
79,Teotônio,Upper Madeira,-64.055557,-8.888889
80,Teotônio,Upper Madeira,-64.055557,-8.888889
81,Teotônio,Upper Madeira,-64.055557,-8.888889
82,Teotônio,Upper Madeira,-64.055557,-8.888889
83,Associação Calderita,Upper Madeira,-63.521702,-8.641125
84,Associação Calderita,Upper Madeira,-63.521702,-8.641125
85,Associação Calderita,Upper Madeira,-63.521702,-8.641125
86,Monense,Middle Madeira,-62.485423,-6.594729
87,Crato,Middle Madeira,-63.01707683,-7.51730664
88,Mondego,Middle Madeira,-61.83600069,-6.249786089
89,Banheiro,Middle Madeira,-63.02168987,-7.505094659
90,São Domingos,Upper Madeira,-62.931558,-8.096378
91,São Domingos,Upper Madeira,-62.931558,-8.096378
92,Campelo,Upper Madeira,-63.948811,-8.795722
93,Campelo,Upper Madeira,-63.948811,-8.795722
94,Campelo,Upper Madeira,-63.948811,-8.795722
95,Novo Engenho Velho,Upper Madeira,-63.926256,-8.774751
96,NOORH-49,,-75.9214279,-0.9217173
97,Tumali,,-76.12510645,-0.297385209
99,Coração,Upper Madeira,-64.0882445,-8.9739343
100,Curralinho,Lower Madeira,-60.9903,-5.6187
101,Canta 2,,-76.37,-1.59
102,Igarapé do Engenho,Upper Madeira,-63.941,-8.789
103,Jauary,Urubu,-58.4392,-3.1512
104,Jauary,Urubu,-58.4392,-3.1512
105,Aguas Blancas,,-77.23,-0.05
